timestep,question ,action_node_id, bubble_size, bubble_scale, image_name, question, option1, option2
task1_3_2_0-8_trial_1_1,Show me left wrist,16,1,2,Task1_3.png,Is the person in the image running or walking?,Running,Walking
task1_3_2_0-8_trial_1_2,Show me right knee,18,1,1,Task1_3.png,Is the person in the image running or walking?,Running,Walking
task1_3_2_0-8_trial_1_3,Show me left wrist,16,1,2,Task1_3.png,Is the person in the image running or walking?,Running,Walking
task1_3_2_0-8_trial_1_4,Show me neck,13,2,1,Task1_3.png,Is the person in the image running or walking?,Running,Walking
task1_3_2_0-8_trial_1_5,Show me head,12,1,0,Task1_3.png,Is the person in the image running or walking?,Running,Walking
task1_3_2_0-8_trial_1_6,Show me left ankle,22,1,1,Task1_3.png,Is the person in the image running or walking?,Running,Walking
task1_3_2_0-8_trial_1_7,Show me left wrist,16,1,2,Task1_3.png,Is the person in the image running or walking?,Running,Walking
task1_3_2_0-8_trial_1_8,Show me Right Leg,7,2,1,Task1_3.png,Is the person in the image running or walking?,Running,Walking
task1_3_2_0-8_trial_1_9,Show me right wrist,11,2,1,Task1_3.png,Is the person in the image running or walking?,Running,Walking
task1_3_2_0-8_trial_1_10,Show me left wrist,16,1,2,Task1_3.png,Is the person in the image running or walking?,Running,Walking
task1_3_2_0-8_trial_1_11,Show me rigth hip,17,1,2,Task1_3.png,Is the person in the image running or walking?,Running,Walking
task1_3_2_0-8_trial_1_12,Show me left wrist,16,1,2,Task1_3.png,Is the person in the image running or walking?,Running,Walking
task1_3_2_0-8_trial_1_13,Show me Full Body,1,2,0,Task1_3.png,Is the person in the image running or walking?,Running,Walking
task1_3_2_0-8_trial_1_14,Show me left wrist,16,1,2,Task1_3.png,Is the person in the image running or walking?,Running,Walking
task1_3_2_0-8_trial_1_15,Show me rigth hip,17,1,2,Task1_3.png,Is the person in the image running or walking?,Running,Walking
task1_3_2_0-8_trial_1_16,Show me right knee,18,0,2,Task1_3.png,Is the person in the image running or walking?,Running,Walking
task1_3_2_0-8_trial_1_17,Show me right elbow,10,0,0,Task1_3.png,Is the person in the image running or walking?,Running,Walking
task1_3_2_0-8_trial_1_18,Show me head,12,0,0,Task1_3.png,Is the person in the image running or walking?,Running,Walking
task1_3_2_0-8_trial_1_19,Show me left wrist,16,2,0,Task1_3.png,Is the person in the image running or walking?,Running,Walking
task1_3_2_0-8_trial_1_20,Show me Upper Body,2,2,2,Task1_3.png,Is the person in the image running or walking?,Running,Walking
task1_3_2_0-8_trial_1_21,Show me Left Leg,8,0,0,Task1_3.png,Is the person in the image running or walking?,Running,Walking
task1_3_2_0-8_trial_1_22,Show me Torso,5,1,2,Task1_3.png,Is the person in the image running or walking?,Running,Walking
task1_3_2_0-8_trial_1_23,Show me left knee,21,0,0,Task1_3.png,Is the person in the image running or walking?,Running,Walking
task1_3_2_0-8_trial_1_24,Show me left wrist,16,1,2,Task1_3.png,Is the person in the image running or walking?,Running,Walking
-1,-1,-1,-1,-1,Task1_3.png,Is the person in the image running or walking?,Running,Walking
task1_3_2_0-8_trial_2_1,Show me left wrist,16,1,2,Task1_3.png,Is the person in the image running or walking?,Running,Walking
task1_3_2_0-8_trial_2_2,Show me left knee,21,1,2,Task1_3.png,Is the person in the image running or walking?,Running,Walking
