node id,node name,alpha,beta,gamma
1,Full Body,0.8,0.35,0
2,Upper Body,0.7,0.6,0.4
3,Lower Body,0.8,0.4,0.4
4,Right Arm,0.2,0.2,0.3
5,Torso,0.92,0.45,0.66
6,Left Arm,0.7,0.35,0.7
7,Right Leg,0,0,0.6
8,Left Leg,0.6,0.4,0.5
9,right shoulder,0.1,0.1,0.4
10,right elbow,0.05,0,0.62
11,right wrist,0.4,0,0.52
12,head,0.78,0,0.5
13,neck,0.6,0,0.5
14,left shoulder,0.56,0,0.42
15,left elbow,0.54,0,0.4
16,left wrist,0.4,0,0.4
17,rigth hip,0,0,0.35
18,right knee,0,0,0.4
19,right ankle,0,0,0.37
20,left hip,0.26,0,0.5
21,left knee,0.43,0,0.4
22,left ankle,0.1,0,0.42
1,Task1_3.png,Is the person in the image running or walking?,Running,Walking
