node id,node name,alpha,beta,gamma
1,Full Body,0.8,0.5,0
2,Upper Body,0.62,0.55,0.4
3,Lower Body,0.91,0.62,0.2
4,Right Arm,0.1,0.1,0.3
5,Torso,0.6,0.2,0.5
6,Left Arm,0.2,0.12,0.4
7,Right Leg,0.3,0.2,0.42
8,Left Leg,0.7,0.51,0.42
9,right shoulder,0.21,0,0.34
10,right elbow,0.19,0,0.56
11,right wrist,0.7,0,0.4
12,head,0.92,0,0.35
13,neck,0.1,0,0.53
14,left shoulder,0.2,0,0.47
15,left elbow,0.31,0,0.35
16,left wrist,0.2,0,0.25
17,rigth hip,0.8,0,0.2
18,right knee,0.1,0,0.5
19,right ankle,0.77,0,0.34
20,left hip,0.46,0,0.33
21,left knee,0.62,0,0.35
22,left ankle,0.74,0,0.32
1,Task1_4.png,Is the person in the image running or walking?,Running,Walking
