node id,node name,alpha,beta,gamma
1,Full Body,0.91,0.45,0
2,Upper Body,0.73,0.51,0.36
3,Lower Body,0.95,0.58,0.39
4,Right Arm,0.94,0.4,0.46
5,Torso,0.92,0.45,0.66
6,Left Arm,0.75,0.39,0.42
7,Right Leg,0.87,0.51,0.45
8,Left Leg,0.83,0.5,0.43
9,right shoulder,0.74,0,0.38
10,right elbow,0.69,0.35,0.62
11,right wrist,0.6,0,0.54
12,head,0.81,0,0.4
13,neck,0.65,0,0.41
14,left shoulder,0.6,0,0.46
15,left elbow,0.69,0,0.61
16,left wrist,0.59,0,0.35
17,rigth hip,0.46,0,0.34
18,right knee,0.63,0,0.36
19,right ankle,0.77,0,0.35
20,left hip,0.46,0,0.34
21,left knee,0.63,0,0.35
22,left ankle,0.75,0,0.35
1,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking
