node id,node name,alpha,beta,gamma
1,Full Body,0.82,0.38,0
2,Upper Body,0.8,0.76,0.36
3,Lower Body,0.54,0.54,0.5
4,Right Arm,0.7,0.3,0.21
5,Torso,0.92,0.45,0.66
6,Left Arm,0.1,0.27,0.42
7,Right Leg,0,0,0.52
8,Left Leg,0.6,0.4,0.51
9,right shoulder,0.4,0,0.38
10,right elbow,0.3,0,0.5
11,right wrist,0,0,0.4
12,head,0.7,0,0.5
13,neck,0.5,0,0.41
14,left shoulder,0.1,0,0.46
15,left elbow,0.12,0,0.54
16,left wrist,0.59,0,0.35
17,rigth hip,0,0,0.34
18,right knee,0,0,0.36
19,right ankle,0.2,0,0.4
20,left hip,0.36,0,0.38
21,left knee,0.58,0,0.27
22,left ankle,0.71,0,0.37
1,Task1_8.png,Is the person in the image running or walking?,Running,Walking
