node id,node name,alpha,beta,gamma
1,Full Body,0.3,0.3,0
2,Upper Body,0.1,0.2,0.4
3,Lower Body,0.5,0,0.1
4,Right Arm,0.05,0,0.3
5,Torso,0.2,0.3,0.45
6,Left Arm,0.5,0.2,0.44
7,Right Leg,0,0,0
8,Left Leg,0.1,0.2,0.38
9,right shoulder,0.2,0,0.5
10,right elbow,0,0,0
11,right wrist,0,0,0
12,head,0.1,0,0.2
13,neck,0,0,0.1
14,left shoulder,0.05,0,0.2
15,left elbow,0,0,0.2
16,left wrist,0,0,0.1
17,rigth hip,0.1,0,0.2
18,right knee,0.01,0,0.3
19,right ankle,0,0,0.1
20,left hip,0,0,0.5
21,left knee,0,0,0.27
22,left ankle,0.8,0,0.5
1,Task1_11.png,Is the person in the image running or walking?,Running,Walking
