node id,node name,alpha,beta,gamma
1,Full Body,0.8,0.4,0
2,Upper Body,0.6,0.4,0.4
3,Lower Body,0.7,0.5,0.4
4,Right Arm,0.2,0.1,0.3
5,Torso,0.2,0.3,0.6
6,Left Arm,0.4,0.43,0.3
7,Right Leg,0.5,0.4,0.35
8,Left Leg,0.6,0.34,0.43
9,right shoulder,0.3,0,0.38
10,right elbow,0.4,0,0.53
11,right wrist,0,0,0.2
12,head,0.81,0,0.4
13,neck,0.43,0,0.41
14,left shoulder,0.52,0,0.47
15,left elbow,0.57,0,0.58
16,left wrist,0.58,0,0.36
17,rigth hip,0,0,0.37
18,right knee,0.51,0,0.41
19,right ankle,0.61,0,0.35
20,left hip,0.56,0,0.38
21,left knee,0.73,0,0.34
22,left ankle,0.8,0,0.3
1,Task1_6.png,Is the person in the image running or walking?,Running,Walking
