node id,node name,alpha,beta,gamma
1,Full Body,0.6,0.3,0
2,Upper Body,0.2,0.4,0.6
3,Lower Body,0.6,0.4,0.4
4,Right Arm,0.2,0.23,0.35
5,Torso,0,0,0.3
6,Left Arm,0.22,0.3,0.6
7,Right Leg,0.4,0.5,0.6
8,Left Leg,0.7,0.5,0.43
9,right shoulder,0,0,0.37
10,right elbow,0.1,0,0.5
11,right wrist,0,0,0.2
12,head,0.3,0,0.2
13,neck,0.5,0,0.5
14,left shoulder,0.7,0,0.3
15,left elbow,0.7,0,0.5
16,left wrist,0.2,0,0.42
17,rigth hip,0.05,0,0.4
18,right knee,0.2,0,0.34
19,right ankle,0.8,0,0.4
20,left hip,0.35,0,0.5
21,left knee,0.2,0,0.4
22,left ankle,0.4,0,0.5
1,Task1_5.png,Is the person in the image running or walking?,Running,Walking
