timestep,question ,action_node_id, bubble_size, bubble_scale, image_name, question, option1, option2, structure, discourse
trial_1_1,Show me rigth hip,17,1,1,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, NA, NA
trial_1_2,Show me Left Leg,8,1,1,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_1_3,Show me Left Arm,6,1,1,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_1_4,Show me left shoulder,14,2,0,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, topdown, sequence
trial_1_5,Show me Torso,5,2,0,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_1_6,Show me left elbow,15,2,0,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_1_7,Show me Torso,5,0,0,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_1_8,Show me right shoulder,9,0,0,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_1_9,Show me right wrist,11,0,1,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_1_10,Show me right ankle,19,1,1,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_1_11,Show me Full Body,1,1,0,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_1_12,Show me Torso,5,0,2,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_1_13,Show me Left Arm,6,1,1,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_1_14,Show me Left Arm,6,2,1,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, alpha, restatement
trial_1_15,Show me Left Leg,8,0,0,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_1_16,Show me right shoulder,9,1,1,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_1_17,Show me Full Body,1,1,2,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_1_18,Show me right elbow,10,1,0,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_1_19,Show me left knee,21,1,2,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_1_20,Show me left hip,20,2,2,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_1_21,Show me Left Leg,8,0,1,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, bottomUp, sequence
trial_1_22,Show me neck,13,0,2,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_1_23,Show me rigth hip,17,1,2,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_1_24,Show me rigth hip,17,0,0,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, alpha, restatement
50,50,50,50,50,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, NA, NA
trial_2_1,Show me Right Leg,7,0,1,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, bottomUp, sequence
trial_2_2,Show me head,12,1,0,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_2_3,Show me right elbow,10,1,2,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_2_4,Show me right elbow,10,0,0,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, alpha, restatement
trial_2_5,Show me Left Leg,8,1,2,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_2_6,Show me right elbow,10,1,1,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_2_7,Show me Torso,5,0,1,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_2_8,Show me Left Arm,6,0,1,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_2_9,Show me left elbow,15,1,1,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, topdown, sequence
trial_2_10,Show me Torso,5,1,1,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_2_11,Show me left hip,20,2,0,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_2_12,Show me Torso,5,1,1,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_2_13,Show me right ankle,19,2,0,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_2_14,Show me right shoulder,9,1,1,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_2_15,Show me right knee,18,0,2,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_2_16,Show me right elbow,10,0,1,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_2_17,Show me left hip,20,2,2,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_2_18,Show me rigth hip,17,2,1,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_2_19,Show me left hip,20,0,0,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_2_20,Show me Upper Body,2,2,1,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_2_21,Show me right shoulder,9,1,0,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_2_22,Show me Left Arm,6,1,1,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_2_23,Show me Upper Body,2,2,2,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, bottomUp, sequence
trial_2_24,Show me neck,13,1,2,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
50,50,50,50,50,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, NA, NA
trial_3_1,Show me right wrist,11,1,1,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_3_2,Show me Full Body,1,1,0,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_3_3,Show me left wrist,16,1,1,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_3_4,Show me Left Arm,6,1,2,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, bottomUp, sequence
trial_3_5,Show me left hip,20,0,0,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_3_6,Show me Lower Body,3,0,0,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_3_7,Show me right knee,18,0,1,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_3_8,Show me Full Body,1,1,1,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_3_9,Show me Torso,5,0,0,Task1_2.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
