timestep,question ,action_node_id, bubble_size, bubble_scale, image_name, question, option1, option2, structure, discourse
trial_1_1,Show me Full Body,1,2,2,Task1_1.jpg,Is the person in the image running or walking?,Running,Walking, NA, NA
trial_1_2,Show me right elbow,10,0,2,Task1_1.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_1_3,Show me Upper Body,2,1,2,Task1_1.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_1_4,Show me Torso,5,1,1,Task1_1.jpg,Is the person in the image running or walking?,Running,Walking, topdown, sequence
trial_1_5,Show me right wrist,11,0,1,Task1_1.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_1_6,Show me left ankle,22,0,2,Task1_1.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_1_7,Show me Left Arm,6,0,1,Task1_1.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_1_8,Show me left ankle,22,0,2,Task1_1.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_1_9,Show me left ankle,22,1,0,Task1_1.jpg,Is the person in the image running or walking?,Running,Walking, alpha, summary
trial_1_10,Show me head,12,0,1,Task1_1.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
50,50,50,50,50,Task1_1.jpg,Is the person in the image running or walking?,Running,Walking, NA, NA
trial_2_1,Show me Upper Body,2,0,2,Task1_1.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_2_2,Show me left elbow,15,1,1,Task1_1.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_2_3,Show me right wrist,11,0,2,Task1_1.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_2_4,Show me head,12,1,2,Task1_1.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_2_5,Show me right wrist,11,1,1,Task1_1.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_2_6,Show me rigth hip,17,0,1,Task1_1.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_2_7,Show me left knee,21,2,2,Task1_1.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_2_8,Show me Full Body,1,0,0,Task1_1.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_2_9,Show me head,12,1,1,Task1_1.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
trial_2_10,Show me right knee,18,0,1,Task1_1.jpg,Is the person in the image running or walking?,Running,Walking, NA, sequence
